id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
364;NULL;"Sky Airlines";1;NULL;258;NULL;NULL;0
365;NULL;Jetsmart;1;NULL;258;NULL;NULL;0
366;NULL;"Airbus Chile SpA";2;NULL;258;NULL;NULL;0
367;NULL;ENAER;2;NULL;258;NULL;NULL;0
368;NULL;"Dirección General de Aeronáutica Civil (DGAC)";1;NULL;258;NULL;NULL;0
370;NULL;Mitsui;0;NULL;258;NULL;NULL;0
371;NULL;"General Motors Chile";1;NULL;258;NULL;NULL;0
372;625;MSC;1;NULL;206;2;1;0
373;NULL;"Ford Motor Company Chile";1;NULL;258;NULL;NULL;0
374;NULL;"Williamson Balfour";2;NULL;258;NULL;NULL;0
375;NULL;Inchcape;2;NULL;258;NULL;NULL;0
376;NULL;Indumotora;2;NULL;258;NULL;NULL;0
377;NULL;Copesa;2;NULL;258;NULL;NULL;0
378;627;"DPW PCE";1;NULL;206;3;9;0
379;630;"QC Terminales";1;NULL;206;3;8;0
380;632;Ferrovial;1;NULL;206;3;6;0
381;592;"ENAP Puertos";1;NULL;206;3;10;0
382;633;"Terminal Cerros de Valparaíso TCVAL";1;NULL;206;1;16;0
383;1037;"Puertos CAP";1;NULL;206;1;22;0
384;NULL;"Mercado Libre";1;NULL;253;NULL;NULL;0
385;NULL;Linio;1;NULL;253;NULL;NULL;0
386;NULL;GROUPON;1;NULL;253;NULL;NULL;0
387;NULL;DAFITI;1;NULL;253;NULL;NULL;0
388;NULL;"ENEX (SHELL)";2;NULL;253;NULL;NULL;0
389;NULL;COPEC;2;NULL;253;NULL;NULL;0
390;NULL;"ESMAX (PETROBRAS)";2;NULL;253;NULL;NULL;0
391;NULL;FORUS;1;NULL;253;NULL;NULL;0
392;NULL;KOMAX;1;NULL;253;NULL;NULL;0
393;NULL;"COMERCIAL APS (SAVILLE ROW)";1;NULL;253;NULL;NULL;0
394;NULL;"BADAMAX (FEROUCH)";1;NULL;253;NULL;NULL;0
395;NULL;"COMERCIAL MONTGAR (NAUTICA)";1;NULL;253;NULL;NULL;0
396;NULL;"PEREZ DE LA FUENTE (BELLOTA)";1;NULL;253;NULL;NULL;0
397;NULL;ARROW-ESPRIT;1;NULL;253;NULL;NULL;0
398;NULL;"ADIDAS - REEBOK";1;NULL;253;NULL;NULL;0
399;NULL;BATA;1;NULL;253;NULL;NULL;0
400;NULL;NIKE;1;NULL;253;NULL;NULL;0
401;NULL;PUMA;1;NULL;253;NULL;NULL;0
402;NULL;"UNDER ARMOUR";1;NULL;253;NULL;NULL;0
403;NULL;INDITEX;1;NULL;253;NULL;NULL;0
404;NULL;H&M;1;NULL;253;NULL;NULL;0
405;NULL;"VF CHILE";1;NULL;253;NULL;NULL;0
406;NULL;COLGRAM;1;NULL;253;NULL;NULL;0
